	movie_id	title	user_rating	metascore	MPAA_rating	nudity	violence	profanity	alcohol	frightening	Unnamed: 0	Unnamed: 0.1	one	two	three	four	five	six	seven	eight	nine	ten	lower	median	upper	skewness	binned	box_office
0	tt0437086	Alita: Battle Angel	74	53	Rated PG-13 for sequences of sci-fi violence and action, and for some language	None	Moderate	Mild	Mild	Moderate	92	92	1672	908	1618	3179	7776	19778	42536	48089	24879	25110	6.710533430505924	7.7143005676973955	8.745297238634992	-0.013382159461134434	0.0	85710210.0
1	tt0448115	Shazam!	71	71	Rated PG-13 for intense sequences of action, language, and suggestive material	None	Moderate	Mild	Mild	Moderate	58	58	3139	1385	2246	4321	11298	29274	58042	48392	18748	19169	6.4091514654642365	7.298456290272561	8.270902215242188	-0.04465748176613658	0.0	140371656.0
2	tt0451279	Wonder Woman	74	76	Rated PG-13 for sequences of violence and action, and some suggestive content	Mild	Moderate	Mild	Mild	Mild	10	10	9711	3940	5867	10413	23277	54789	115553	133531	76648	75557	6.6672349484652065	7.732852296470482	8.824646435653898	-0.012133425326408692	0.0	412563408.0
3	tt0460890	The Only Living Boy in New York	63	33	Rated R for language and some drug material	Moderate	None	Moderate	Moderate	None	473	473	206	138	244	477	1131	2147	2556	1490	538	594	5.585817419655332	6.663341158059469	7.662248322147652	0.03786139679465802	0.0	624332.0
4	tt0491175	Suburbicon	57	42	Rated R for violence, language and some sexuality	Mild	Moderate	Moderate	Mild	Moderate	361	361	1709	1031	1713	3326	6470	8841	6581	2794	850	996	4.623454404945903	5.828752403574256	6.901648685610089	0.058116955922617314	0.1	5775178.0
5	tt0491203	Tulip Fever	62	38	Rated R for sexual content and nudity	Severe	Mild	Mild	Mild	Mild	407	407	305	220	461	938	2167	4380	4302	2027	673	830	5.4929626211352085	6.427054794520547	7.37314039981404	-0.006378881850513966	0.0	2455635.0
6	tt0493405	CHIPS	60	28	Rated R for crude sexual content, graphic nudity, pervasive language, some violence and drug use.	Moderate	Severe	Severe	Mild	Mild	271	271	1289	922	1271	2394	5352	10801	9216	4259	1342	2142	5.223281016442451	6.265299509304694	7.282552083333332	0.01202654630164653	0.0	18600152.0
7	tt0498381	Rings	45	25	Rated PG-13 for violence/terror, thematic elements, some sexuality and brief drug material	Mild	Moderate	Mild	Mild	Moderate	230	230	2840	2965	4323	6271	7785	5532	2742	1162	438	1297	3.20176960444136	4.664226075786769	5.921592552422268	0.07540564170258164	0.1	27793018.0
8	tt0837563	Pet Sematary	58	57	Rated R for horror violence, bloody images, and some language	Mild	Severe	Moderate	Mild	Severe	135	135	1969	1516	2847	5765	12029	17215	12239	5253	1502	2329	4.796699642530551	5.91858844031368	6.962210964948118	0.03614216759731235	0.0	54724696.0
9	tt0859635	Super Troopers 2	61	41	Rated R for crude sexual content and language throughout, drug material and some graphic nudity	Severe	Moderate	Severe	Moderate	Mild	215	215	707	525	829	1483	3041	4949	4704	2568	984	1847	5.113367313383756	6.355425338452213	7.497821003401363	0.041796727081150495	0.1	30617396.0
10	tt0974015	Justice League	64	45	Rated PG-13 for sequences of sci-fi violence and action	Mild	Moderate	Mild	Mild	Mild	22	22	10117	5950	10416	18913	38539	70106	83280	50188	21352	38856	5.54271032436596	6.737962295869356	7.9675769108153345	-0.014170941871444675	0.0	229024295.0
11	tt1025100	Gemini Man	57	38	Rated PG-13 for violence and action throughout, and brief strong language.	Mild	Moderate	Moderate	Mild	Mild	265	265	1872	1012	1706	2788	5730	8422	6601	3002	1039	1967	4.701876090750437	5.970375207789124	7.117217088319952	0.0503685552600148	0.1	48546770.0
12	tt1034415	Suspiria	68	64	Rated R for disturbing content involving ritualistic  violence, bloody images and graphic nudity, an	Severe	Severe	Moderate	Mild	Severe	406	406	2013	969	1397	2186	3962	7122	10831	9743	5228	4027	5.688500421229992	7.062274951528021	8.231653494816793	0.0803710909626781	0.1	2483472.0
13	tt1072748	Winchester	54	28	Rated PG-13 for violence, disturbing images, drug content, some sexual material and thematic element	Mild	Mild	None	Mild	Moderate	240	240	792	962	1636	2972	5739	6373	4180	1823	608	1117	4.532845443457048	5.656911972383492	6.781698564593301	-0.0003201913351281456	0.0	25091816.0
14	tt1137450	Death Wish	64	31	Rated R for strong bloody violence, and language throughout	Mild	Severe	Severe	Mild	Severe	200	200	928	801	1287	2532	6251	14179	15722	7237	2290	3762	5.637403907186685	6.596457193741252	7.470852944917949	0.04617392337374749	0.1	34017028.0
15	tt1139592	Jeepers Creepers III	40	-1	None	None	Moderate	Moderate	None	Moderate	412	412	2496	1784	2297	2557	2368	1473	738	724	336	950	2.3042320627802693	4.0023464998044584	5.697046843177192	0.0010062717455678446	0.0	2335162.0
16	tt1206885	Rambo: Last Blood	64	26	Rated R for strong graphic violence, grisly images, drug use and language.	Mild	Severe	Severe	Moderate	Severe	270	270	1173	794	1331	2117	4035	6858	8110	5185	2194	5402	5.462763320941759	6.782552404438964	8.171407907425266	-0.0254985167983085	0.0	44819352.0
17	tt1213641	First Man	73	84	Rated PG-13 for some thematic content involving peril, and brief strong language	None	Mild	Mild	Mild	Moderate	164	164	2624	963	1341	2498	6485	17977	40965	41222	17106	9572	6.580562675454656	7.439545953863053	8.29355077385862	0.0029063006435777767	0.0	44936545.0
18	tt1219827	Ghost in the Shell	63	52	Rated PG-13 for intense sequences of sci-fi violence, suggestive content and some disturbing images	Mild	Moderate	Mild	Mild	Mild	181	181	3923	2589	4493	9434	22949	45467	49593	26395	9116	9639	5.5552378648250365	6.5593632165829865	7.484886980017341	0.040733617166330435	0.1	40563557.0
19	tt1226837	Beautiful Boy	73	62	Rated R for drug content throughout, language, and brief sexual material	Mild	Mild	Moderate	Severe	Moderate	340	340	346	134	259	570	1545	4814	11759	11282	4366	3002	6.6574326048133345	7.466961476316014	8.309320156000709	-0.019874118040551825	0.0	7649973.0
